,NAME,CUISINE_LVL1,CUISINE_LVL2,CUISINE_LVL3,COST
0,Hitchki,Modern Indian,North Indian,Chinese,High
1,Baba Falooda,Desserts,Ice Cream,Beverages,Low
2,Chin Chin Chu,Asian,Chinese,,High
3,Butterfly High,Modern Indian,,,High
4,Bkc  Dive,North Indian,Chinese,Continental,High
5,Flea Bazaar Café,American,Asian,Street Food,High
6,Persian Darbar,Biryani,North Indian,Chinese,High
7,Tanatan,Modern Indian,,,High
8,Cafe Safar,Chinese,North Indian,Biryani,High
9,Plum By Bent Chair,Asian,,,High
10,Angrezi Dhaba,North Indian,Chinese,Thai,High
11,Raasta,Continental,Seafood,Fast Food,High
12,Todi Mill Social,American,North Indian,Chinese,High
13,Burn - Bar & Kitchen,Continental,Mexican,Italian,High
14,145 Bandra,Mexican,American,Desserts,High
16,Cafe Zoe,European,Italian,Burger,High
17,Ustaadi,Asian,Biryani,Chinese,High
18,Cafe Maaz,Chinese,North Indian,Mughlai,Low
19,Carter'S Blue,North Indian,Lebanese,Fast Food,High
20,Rajasthan,North Indian,Mughlai,Chinese,High
21,Harry'S Bar + Cafe,Asian,Mexican,American,High
22,New Ajwa Family Restaurant,North Indian,Chinese,Mughlai,High
23,Singh Saab,North Indian,Asian,,High
24,Kasbah Grand,North Indian,Mughlai,Chinese,High
25,Elementaria Bakery Cafe,Cafe,Desserts,Sandwich,High
26,Angrezi Patiyalaa,North Indian,Finger Food,American,High
27,Door No.1,Asian,Italian,North Indian,High
28,Natural Ice Cream,Desserts,Ice Cream,,Low
29,Punjab Grill,North Indian,Mughlai,Beverages,High
30,Locco Eatery & Bar,North Indian,Continental,Lebanese,High
32,Hotel Annapoorna Refreshments,Maharashtrian,Mughlai,Chinese,Low
33,Breadkart,Fast Food,,,Low
34,Biryani 9,Biryani,North Indian,,High
35,The Lemon Grass,North Indian,Chinese,,Low
36,D Fusion Flavours,Chinese,,,Low
37,Chote Nawab,North Indian,Chinese,,High
38,Hari Om Sai,Beverages,Fast Food,,Low
39,Nation Tadka,North Indian,South Indian,Chinese,Low
40,Persian Hub Family Restaurant,Chinese,Mughlai,North Indian,High
41,Magdalena,Bakery,Desserts,,High
42,United Food Nation,Fast Food,Burger,American,High
43,Frisbees,Fast Food,American,Burger,High
44,Bombay Vintage,North Indian,South Indian,Maharashtrian,High
45,Arya Bhavan,South Indian,Fast Food,,Low
46,Chaubara 601,North Indian,,,High
48,Queen Margherita'S Pizzeria,Pizza,Fast Food,,High
49,The Burger Brasserie,Cafe,Fast Food,Burger,High
50,Spice Republic,Cafe,Continental,Mediterranean,High
51,Fleur - The Fern Goregaon,Thai,Continental,North Indian,High
52,Cat Café Studio,Cafe,Beverages,,Low
53,Thotrin Cafe,North Eastern,Chinese,,High
54,Udipi Vihar,North Indian,Chinese,South Indian,High
55,B Mad - The Restaurant,North Indian,Italian,Mexican,High
56,Landmark Restaurant Veg Diet,North Indian,Chinese,South Indian,High
57,Matka Khichdi,North Indian,,,Low
58,Aavakay,Andhra,South Indian,,High
59,Little West Pizza,Pizza,,,High
60,Prashant Corner,Mithai,Street Food,,Low
61,Viaan,North Indian,Chinese,,High
62,Deepak,South Indian,North Indian,Chinese,High
64,Sarvodaya Pure Veg,Chinese,South Indian,North Indian,High
65,Street Gourmet,North Indian,Chinese,Street Food,High
66,Downtown China,Chinese,Thai,,High
67,West Coast Grill,American,Italian,Burger,High
68,Ray'S Cafe & Pizzeria,Italian,Pizza,Fast Food,High
69,The Yellow Chilli,North Indian,Mughlai,,High
70,Wok Express,Chinese,Asian,Thai,High
71,Kuai Kitchen,Chinese,Japanese,Thai,High
72,Dale'S Eden Cake Shop,Bakery,Desserts,,High
73,La Folie Lab,Cafe,Healthy Food,Desserts,High
74,Kusum Rolls,North Indian,Rolls,,Low
75,Jimmy Boy,Parsi,North Indian,Fast Food,High
76,Ceremonial Kitchen & Co,Seafood,Maharashtrian,North Indian,High
77,Markaz Restaurant,North Indian,Chinese,Biryani,High
78,Royal Garden,Chinese,North Indian,Mughlai,High
80,New Mezban Restaurant,Chinese,North Indian,,High
81,Vishwa Lunch Home,North Indian,South Indian,Chinese,Low
82,Agrawal'S Juice N Fast Food,Fast Food,Juices,,Low
83,Link  Way Restaurant,North Indian,Chinese,,High
84,Lajawab Kabab Corner,Kebab,Fast Food,,Low
85,Rajyog,North Indian,Chinese,Seafood,High
86,Ruchi,North Indian,Seafood,Chinese,High
87,Star Of China,Chinese,,,High
88,Kababchini,North Indian,Seafood,Malwani,High
89,Renault Bar & Restaurant,Chinese,North Indian,Thai,High
90,Hotel Amrut Punjab,North Indian,Chinese,,High
91,Sai Leela Hotel,Mughlai,North Indian,,High
92,Scooper N Shakker,Desserts,Ice Cream,,Low
93,China 65,North Indian,Fast Food,South Indian,Low
94,Supreme Chinese,Chinese,Fast Food,,Low
96,The Fiesta,American,Italian,Fast Food,High
97,Tempting Food,North Indian,South Indian,Mughlai,High
98,Mr Kalam,Chinese,Mughlai,,Low
99,Appetite - Resto Bar,North Indian,Chinese,,High
100,Oriental Origins,Chinese,Thai,Fast Food,Low
101,Sirf 160,North Indian,Continental,Italian,High
102,The Good Bowl,Asian,Biryani,North Indian,High
103,Kitchen Table,Continental,French,Indian,High
104,51 Rainbow Ice Cream & Shakes,Desserts,Ice Cream,Beverages,Low
105,The Dark Kitchen,Chinese,North Indian,Seafood,High
